request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_183,24837395.83,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-14,none,"Use 3 installments of IDR 9313546.67, starting 10 April 2026. This keeps the IDR 11878300 minimum protected."
request_184,9849.40,not_affordable,not_recommended,none,,none,Do not make this payment by 30 July 2024. None of the available options keeps the INR 110800 minimum protected.
request_185,401.38,affordable_later,wait,2026-01-13:1257.30,2026-01-13,none,"Wait until 13 January 2026, then pay EUR 1257.30 in full. Paying sooner would put the EUR 1300 minimum at risk."
request_186,12117.44,affordable_later,wait,2026-03-15:26554,2026-03-15,none,"Wait until 15 March 2026, then pay ZAR 26554 in full. Paying sooner would put the ZAR 22000 minimum at risk."
request_187,38212.61,affordable_later,wait,2024-09-14:187500,2024-09-14,none,"Wait until 14 September 2024, then pay INR 187500 in full. Paying sooner would put the INR 128300 minimum at risk."
request_188,182.94,not_affordable,not_recommended,none,,none,Do not make this payment by 04 March 2025. None of the available options keeps the EUR 900 minimum protected.
request_189,488.40,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 on 04 July 2026. This keeps the EUR 400 minimum protected over the next 90 days.
request_190,573.21,affordable_later,wait,2024-12-15:2557.50,2024-12-15,none,"Wait until 15 December 2024, then pay EUR 2557.50 in full. Paying sooner would put the EUR 1600 minimum at risk."
request_191,664.40,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 on 03 May 2025. This keeps the EUR 500 minimum protected over the next 90 days.
request_192,237.85,not_affordable,not_recommended,none,2026-05-14,none,Do not make this payment by 11 May 2026. None of the available options keeps the USD 1000 minimum protected.
request_193,33.61,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-18,none,"Use 3 installments of EUR 420.23, starting 21 March 2024. This keeps the EUR 1000 minimum protected."
request_194,39449.03,affordable_later,wait,2025-10-13:132800,2025-10-13,none,"Wait until 13 October 2025, then pay INR 132800 in full. Paying sooner would put the INR 113600 minimum at risk."
request_195,990.55,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-14,none,"Use 3 installments of EUR 405.74, starting 09 January 2026. This keeps the EUR 700 minimum protected."
request_196,762.30,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 on 03 June 2024. This keeps the EUR 500 minimum protected over the next 90 days.
request_197,18222618.91,not_affordable,not_recommended,none,,none,Do not make this payment by 21 January 2026. None of the available options keeps the IDR 26245900 minimum protected.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800 on 07 July 2026. This keeps the INR 124300 minimum protected over the next 90 days.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8206986.67, starting 07 September 2024. This keeps the IDR 25359500 minimum protected."
request_200,14584273.58,affordable_with_plan,full_payment,2025-02-06:21717000,,none,Pay IDR 21717000 on 06 February 2025. This keeps the IDR 20114600 minimum protected over the next 90 days.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23997000 on 03 April 2026. This keeps the IDR 17304500 minimum protected over the next 90 days.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay INR 123900 on 05 December 2024. This keeps the INR 147800 minimum protected over the next 90 days.
request_203,1442.10,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 10 May 2025. This keeps the EUR 1400 minimum protected."
request_204,577.44,affordable_with_plan,full_payment,2026-01-04:588.74,2026-01-14,none,Pay EUR 588.74 on 04 January 2026. This keeps the EUR 1300 minimum protected over the next 90 days.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 on 06 March 2024. This keeps the IDR 13994300 minimum protected over the next 90 days.
request_206,1404.70,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 03 August 2025. This keeps the EUR 900 minimum protected."
request_207,4315.86,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Wait until 15 July 2026, then pay ZAR 11830 in full. Paying sooner would put the ZAR 13600 minimum at risk."
request_208,3007761.86,affordable_with_plan,full_payment,2024-06-07:4413000,2024-06-14,none,Pay IDR 4413000 on 07 June 2024. This keeps the IDR 10470700 minimum protected over the next 90 days.
request_209,1585.93,not_affordable,not_recommended,none,2025-12-14,none,Do not make this payment by 25 November 2025. None of the available options keeps the ZAR 18400 minimum protected.
request_210,1133.51,affordable_with_plan,partial_payment,2026-04-06:1133.51|2026-04-14:226.51,2026-04-14,none,Pay USD 1133.51 on 06 April 2026 and the remaining USD 226.51 on 14 April 2026. This completes the full request and keeps the USD 2000 minimum protected.
request_211,263.92,affordable_later,wait,2024-09-14:1788.60,2024-09-14,none,"Wait until 14 September 2024, then pay EUR 1788.60 in full. Paying sooner would put the EUR 1500 minimum at risk."
request_212,0,not_affordable,not_recommended,none,,none,Do not make this payment by 28 February 2025. None of the available options keeps the IDR 29579800 minimum protected.
request_213,3362.40,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use 3 installments of USD 1165.63, starting 21 January 2026. This keeps the USD 2100 minimum protected."
request_214,46594.11,affordable_with_plan,partial_payment,2024-12-04:46594.11|2024-12-16:23155.89,2024-12-16,none,Pay INR 46594.11 on 04 December 2024 and the remaining INR 23155.89 on 16 December 2024. This completes the full request and keeps the INR 174900 minimum protected.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10395.15, starting 09 May 2025. This keeps the ZAR 15700 minimum protected."
request_216,470.09,affordable_later,wait,2026-09-13:3332.40,2026-09-13,none,"Wait until 13 September 2026, then pay USD 3332.40 in full. Paying sooner would put the USD 1800 minimum at risk."
request_217,19357.77,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,"Use 3 installments of ZAR 12889.07, starting 19 March 2024. This keeps the ZAR 26800 minimum protected."
request_218,28299706.52,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-14,none,"Use 3 installments of IDR 21195893.33, starting 07 August 2025. This keeps the IDR 34477200 minimum protected."
request_219,1353.69,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-04-14,none,"Use 3 installments of EUR 580.01, starting 07 April 2026. This keeps the EUR 1100 minimum protected."
request_220,148.93,not_affordable,not_recommended,none,,none,Do not make this payment by 03 July 2024. None of the available options keeps the EUR 1100 minimum protected.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 on 03 November 2025. This keeps the INR 81500 minimum protected over the next 90 days.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 on 05 January 2026. This keeps the ZAR 27300 minimum protected over the next 90 days.
request_223,898.70,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 on 07 September 2024. This keeps the EUR 800 minimum protected over the next 90 days.
request_224,9883719.10,affordable_with_plan,partial_payment,2025-02-04:9883719.10|2025-02-14:443280.90,2025-02-14,none,Pay IDR 9883719.10 on 04 February 2025 and the remaining IDR 443280.90 on 14 February 2025. This completes the full request and keeps the IDR 22187600 minimum protected.
request_225,9433174.69,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-13,none,"Use 3 installments of IDR 7647120, starting 20 July 2026. This keeps the IDR 17670700 minimum protected."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay INR 157000 on 03 December 2024. This keeps the INR 209400 minimum protected over the next 90 days.
request_227,0,not_affordable,not_recommended,none,,none,Do not make this payment by 20 June 2025. None of the available options keeps the INR 62900 minimum protected.
request_228,6481097.82,not_affordable,not_recommended,none,,none,Do not make this payment by 30 April 2026. None of the available options keeps the IDR 26191200 minimum protected.
request_229,379.93,not_affordable,not_recommended,none,2024-05-18,none,Do not make this payment by 23 May 2024. None of the available options keeps the EUR 1000 minimum protected.
request_230,3537.60,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,Pay EUR 3537.60 on 06 August 2025. This keeps the EUR 2000 minimum protected over the next 90 days.
request_231,34547.43,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-14,none,"Use 3 installments of ZAR 12378.08, starting 06 January 2026. This keeps the ZAR 24300 minimum protected."
request_232,824.71,not_affordable,not_recommended,none,,none,Do not make this payment by 15 August 2024. None of the available options keeps the EUR 2400 minimum protected.
request_233,0,not_affordable,not_recommended,none,,none,Do not make this payment by 17 December 2025. None of the available options keeps the IDR 10365700 minimum protected.
request_234,182.32,affordable_later,wait,2026-09-13:1213.30,2026-09-13,none,"Wait until 13 September 2026, then pay EUR 1213.30 in full. Paying sooner would put the EUR 700 minimum at risk."
request_235,967.20,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 on 06 September 2024. This keeps the USD 700 minimum protected over the next 90 days.
request_236,6057746.37,not_affordable,not_recommended,none,,none,Do not make this payment by 23 February 2025. None of the available options keeps the IDR 16768600 minimum protected.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23826000 on 05 April 2026. This keeps the IDR 22431500 minimum protected over the next 90 days.
request_238,663.60,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 07 December 2024. This keeps the USD 700 minimum protected."
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 on 04 May 2025. This keeps the USD 600 minimum protected over the next 90 days.
request_240,16266.71,not_affordable,not_recommended,none,,none,Do not make this payment by 20 March 2026. None of the available options keeps the INR 52800 minimum protected.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7298026.67, starting 17 March 2024. This keeps the IDR 19252000 minimum protected."
request_242,0,not_affordable,not_recommended,none,,none,Do not make this payment by 25 August 2025. None of the available options keeps the EUR 600 minimum protected.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 on 07 July 2026. This keeps the ZAR 19900 minimum protected over the next 90 days.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay ZAR 49918 on 04 June 2024. This keeps the ZAR 45900 minimum protected over the next 90 days.
request_245,31776.48,affordable_later,wait,2026-01-13:128500,2026-01-13,none,"Wait until 13 January 2026, then pay INR 128500 in full. Paying sooner would put the INR 94600 minimum at risk."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22216.48, starting 03 April 2026. This keeps the ZAR 39300 minimum protected."
request_247,1059.30,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,Pay EUR 1059.30 on 05 September 2024. This keeps the EUR 1300 minimum protected over the next 90 days.
request_248,936.79,not_affordable,not_recommended,none,,none,Do not make this payment by 28 April 2025. None of the available options keeps the USD 1300 minimum protected.
request_249,141.26,affordable_later,wait,2026-03-15:643.20,2026-03-15,none,"Wait until 15 March 2026, then pay USD 643.20 in full. Paying sooner would put the USD 600 minimum at risk."
request_250,15496.91,affordable_with_plan,partial_payment,2024-12-06:15496.91|2025-01-14:108781.09,2025-01-14,none,Pay ZAR 15496.91 on 06 December 2024 and the remaining ZAR 108781.09 on 14 January 2025. This completes the full request and keeps the ZAR 35300 minimum protected.
request_251,1513.60,not_affordable,not_recommended,none,2025-05-03,none,Do not make this payment by 06 June 2025. None of the available options keeps the EUR 1300 minimum protected.
request_252,4799422.04,affordable_later,wait,2026-09-13:28082000,2026-09-13,none,"Wait until 13 September 2026, then pay IDR 28082000 in full. Paying sooner would put the IDR 15152200 minimum at risk."
request_253,1373.03,not_affordable,not_recommended,none,2024-05-18,none,Do not make this payment by 01 June 2024. None of the available options keeps the EUR 2300 minimum protected.
request_254,0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 October 2025. None of the available options keeps the USD 2500 minimum protected.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 on 06 April 2026. This keeps the IDR 9813900 minimum protected over the next 90 days.
request_256,160583.97,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-14,none,"Use 3 installments of INR 75816, starting 10 June 2024. This keeps the INR 168600 minimum protected."
request_257,348.24,affordable_later,wait,2025-11-14:1352.40,2025-11-14,none,"Wait until 14 November 2025, then pay USD 1352.40 in full. Paying sooner would put the USD 1600 minimum at risk."
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,Pay USD 1113.60 on 07 January 2026. This keeps the USD 500 minimum protected over the next 90 days.
request_259,454.47,affordable_later,wait,2024-11-13:935,2024-11-13,none,"Wait until 13 November 2024, then pay EUR 935 in full. Paying sooner would put the EUR 600 minimum at risk."
request_260,10582824.48,affordable_with_plan,partial_payment,2025-02-06:10582824.48|2025-03-16:41496175.52,2025-03-16,none,Pay IDR 10582824.48 on 06 February 2025 and the remaining IDR 41496175.52 on 16 March 2025. This completes the full request and keeps the IDR 20727700 minimum protected.
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Pay EUR 1830.40 on 03 July 2026. This keeps the EUR 1500 minimum protected over the next 90 days.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay IDR 9236000 on 05 December 2024. This keeps the IDR 31018500 minimum protected over the next 90 days.
request_263,7400.64,not_affordable,not_recommended,none,,none,Do not make this payment by 15 June 2025. None of the available options keeps the ZAR 24100 minimum protected.
request_264,23028.78,affordable_later,wait,2026-06-13:111300,2026-06-13,none,"Wait until 13 June 2026, then pay INR 111300 in full. Paying sooner would put the INR 59500 minimum at risk."
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay INR 45970 on 06 March 2024. This keeps the INR 189700 minimum protected over the next 90 days.
request_266,935,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,"Use 3 installments of EUR 324.13, starting 03 August 2025. This keeps the EUR 900 minimum protected."
request_267,1691.54,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-14,none,"Use 3 installments of EUR 667.33, starting 08 January 2026. This keeps the EUR 1500 minimum protected."
request_268,1041.50,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-14,none,"Use 3 installments of EUR 841.22, starting 14 June 2024. This keeps the EUR 1400 minimum protected."
request_269,0,affordable_with_plan,full_payment,2025-11-04:15490,,none,Pay ZAR 15490 on 04 November 2025. This keeps the ZAR 23100 minimum protected over the next 90 days.
request_270,110.30,not_affordable,not_recommended,none,2026-08-14,none,Do not make this payment by 30 August 2026. None of the available options keeps the USD 1400 minimum protected.
request_271,14241.14,affordable_later,wait,2024-10-14:91300,2024-10-14,none,"Wait until 14 October 2024, then pay INR 91300 in full. Paying sooner would put the INR 58200 minimum at risk."
request_272,0,not_affordable,not_recommended,none,,none,Do not make this payment by 10 April 2025. None of the available options keeps the IDR 7508600 minimum protected.
request_273,9546276.09,affordable_with_plan,partial_payment,2026-04-07:9546276.09|2026-04-14:6314723.91,2026-04-14,none,Pay IDR 9546276.09 on 07 April 2026 and the remaining IDR 6314723.91 on 14 April 2026. This completes the full request and keeps the IDR 18774600 minimum protected.
request_274,2214.72,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2025-01-16,none,"Use 3 installments of EUR 940.75, starting 04 December 2024. This keeps the EUR 1800 minimum protected."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 on 06 May 2025. This keeps the IDR 12760100 minimum protected over the next 90 days.
